,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Banda ancha fija,Dial up,Total_y,Accesos por cada 100 hab,Mbps (Media de bajada)
136,2021,3,Salta,49212.0,98318.0,36126.0,5724.0,6453.0,195831,2.0,195833,13.55352602212216,31.209681857038827
137,2021,3,San Juan,40072.0,12922.0,6670.0,11372.0,8447.0,79227,256.0,79483,10.050236642022517,7.041300820394967
138,2021,3,San Luis,8417.0,11884.0,27.0,68856.0,28680.0,117716,148.0,117864,22.857408818789526,21.69870707116376
139,2021,3,Santa Cruz,12347.0,22961.0,6328.0,4269.0,3071.0,48779,197.0,48976,13.016254371883871,7.692326941812981
140,2021,3,Santa Fe,245929.0,443156.0,93412.0,43447.0,15640.0,841433,151.0,841584,23.58815244581783,33.13229624738131
141,2021,3,Santiago Del Estero,19939.0,85535.0,909.0,6147.0,2928.0,115457,1.0,115458,11.660736690891678,13.352723533519551
142,2021,3,Tierra Del Fuego,12853.0,36958.0,6.0,16.0,390.0,49934,289.0,50223,28.150170112829368,9.52
143,2021,3,Tucumán,104489.0,53868.0,70964.0,2408.0,743.0,232447,25.0,232472,13.533446775711845,42.10118530571482
144,2021,2,Buenos Aires,603255.0,2503830.0,854173.0,113546.0,57547.0,4127167,5184.0,4132351,23.35247372787298,52.75542937003713
145,2021,2,Capital Federal,148989.0,1175097.0,41318.0,5580.0,29371.0,1398747,1608.0,1400355,45.48719048129489,72.74675003231476
146,2021,2,Catamarca,20305.0,9426.0,22331.0,1449.0,2233.0,55743,1.0,55744,13.313748671467298,42.18506376779111
147,2021,2,Chaco,39826.0,62948.0,27584.0,8018.0,2353.0,140726,3.0,140729,11.580041340539402,37.39690959622207
148,2021,2,Chubut,49271.0,41497.0,6081.0,23682.0,18706.0,138412,825.0,139237,22.159781771420207,7.67690621713348
149,2021,2,Córdoba,239780.0,467782.0,151855.0,55944.0,15519.0,930818,62.0,930880,24.528406291253745,39.59011648994794
150,2021,2,Corrientes,46648.0,67262.0,3731.0,6557.0,5303.0,129498,3.0,129501,11.46506458012956,30.368054802005656
151,2021,2,Entre Ríos,77836.0,124957.0,17856.0,23786.0,13197.0,257617,15.0,257632,18.435680632917915,27.61897306203556
152,2021,2,Formosa,19571.0,12509.0,3610.0,15690.0,171.0,51551,0.0,51551,8.456293049570467,23.96630452806761
153,2021,2,Jujuy,24738.0,60800.0,19611.0,2731.0,3968.0,111848,0.0,111848,14.366784069218694,25.812477856862227
154,2021,2,La Pampa,9017.0,57014.0,17132.0,13209.0,1295.0,97551,116.0,97667,27.043558440191944,12.27922373804818
155,2021,2,La Rioja,11627.0,54255.0,9445.0,6245.0,30.0,81599,3.0,81602,20.49158509575061,38.53489438300775
156,2021,2,Mendoza,91503.0,70834.0,44696.0,21811.0,827.0,229052,619.0,229671,11.433847066800618,13.465987205003026
157,2021,2,Misiones,44960.0,87861.0,10376.0,5317.0,7662.0,156176,0.0,156176,12.26014659485293,28.682221735396933
158,2021,2,Neuquén,30083.0,72690.0,15619.0,19218.0,640.0,137877,373.0,138250,20.58023612564588,36.10972145846688
159,2021,2,Río Negro,48189.0,43761.0,18727.0,15031.0,18376.0,143583,501.0,144084,19.052051860128397,23.74844668144268
160,2021,2,Salta,51396.0,96016.0,32050.0,5724.0,6453.0,191637,2.0,191639,13.303441391384512,29.239354220742428
161,2021,2,San Juan,40072.0,12369.0,6673.0,11372.0,8447.0,78677,256.0,78933,10.00671906693712,6.993162601626016
162,2021,2,San Luis,8417.0,11308.0,28.0,66860.0,36205.0,122670,148.0,122818,23.89055527674358,21.66188998963924
163,2021,2,Santa Cruz,12347.0,22967.0,6328.0,4269.0,3071.0,48785,197.0,48982,13.096756425784957,7.629667005202396
164,2021,2,Santa Fe,256741.0,431915.0,90424.0,43997.0,17523.0,840449,151.0,840600,23.60478745301367,30.7018831645519
165,2021,2,Santiago Del Estero,20734.0,83770.0,909.0,5081.0,3596.0,114089,1.0,114090,11.554388875216851,12.718797838683304
166,2021,2,Tierra Del Fuego,12853.0,22504.0,6.0,14.0,316.0,35404,289.0,35693,20.126647945777083,8.591921426483484
167,2021,2,Tucumán,110429.0,48359.0,71683.0,1837.0,743.0,233026,25.0,233051,13.606163819728009,40.30992032851357
168,2021,1,Buenos Aires,629679.0,2452056.0,821597.0,98806.0,57864.0,4054936,5066.0,4060002,22.99835397576201,50.78565608506508
169,2021,1,Capital Federal,159805.0,1145093.0,39980.0,5559.0,29236.0,1378283,1390.0,1379673,44.82699016464177,68.29026886796898
170,2021,1,Catamarca,26316.0,4409.0,18688.0,322.0,2233.0,51967,1.0,51968,12.438278918256517,39.96652623965282
171,2021,1,Chaco,43214.0,61251.0,25426.0,8004.0,1875.0,139767,3.0,139770,11.528896477487844,33.6262012999863
172,2021,1,Chubut,45501.0,40960.0,3444.0,23723.0,18712.0,131515,825.0,132340,21.147838315076264,7.531527409144197
173,2021,1,Córdoba,260350.0,444695.0,134634.0,54137.0,17065.0,910826,55.0,910881,24.061371645661502,36.16879932843764
174,2021,1,Corrientes,49160.0,62876.0,3337.0,5949.0,5303.0,126622,3.0,126625,11.234115869536096,25.985171359720063
175,2021,1,Entre Ríos,83688.0,118424.0,16846.0,20836.0,12169.0,251950,13.0,251963,18.070581721504357,23.87133437318357
176,2021,1,Formosa,20663.0,11412.0,2562.0,15669.0,380.0,50686,0.0,50686,8.330895284429907,20.980327506975215
177,2021,1,Jujuy,32254.0,54324.0,17322.0,2677.0,3879.0,110456,0.0,110456,14.226045966500736,26.777362312404005
178,2021,1,La Pampa,8946.0,58711.0,15779.0,12369.0,1300.0,96989,116.0,97105,26.943299898725044,10.728511929531797
179,2021,1,La Rioja,17363.0,34984.0,1.0,250.0,30.0,52625,3.0,52628,13.258360163449572,12.697554732181876
180,2021,1,Mendoza,91844.0,69295.0,38619.0,18332.0,833.0,218308,615.0,218923,10.926002451479471,12.599361245254226
181,2021,1,Misiones,48292.0,82339.0,7064.0,4796.0,6896.0,149387,0.0,149387,11.758811611223322,25.076826126081443
182,2021,1,Neuquén,30223.0,70457.0,14171.0,17752.0,632.0,132862,373.0,133235,19.895917331182982,34.23850264753642
183,2021,1,Río Negro,48777.0,42192.0,17828.0,13994.0,18377.0,140667,501.0,141168,18.724905657874665,21.92390676083096
184,2021,1,Salta,54768.0,89187.0,31498.0,5669.0,6452.0,187572,2.0,187574,13.061128426236175,27.31884069404982
185,2021,1,San Juan,40072.0,11589.0,6671.0,11482.0,8453.0,78011,256.0,78267,9.948368694803314,6.910089995382067
186,2021,1,San Luis,8417.0,10678.0,28.0,63826.0,36205.0,119006,148.0,119154,23.24883515831701,21.594379804710776
187,2021,1,Santa Cruz,12347.0,23089.0,5975.0,4264.0,390.0,45868,197.0,46065,12.391825403443834,7.501531847531764
188,2021,1,Santa Fe,277012.0,421480.0,70976.0,39140.0,17519.0,825990,137.0,826127,23.242382186130484,28.130630073152936
189,2021,1,Santiago Del Estero,26468.0,75849.0,570.0,5158.0,3596.0,111640,1.0,111641,11.334871169032644,11.584174516498134
190,2021,1,Tierra Del Fuego,12853.0,27247.0,6.0,0.0,316.0,40133,289.0,40422,22.9312154304354,8.734752396277898
191,2021,1,Tucumán,147199.0,12185.0,69954.0,1834.0,740.0,231890,22.0,231912,13.57896382467824,37.97961958190828
192,2020,4,Buenos Aires,635651.0,2441248.0,804991.0,93444.0,57927.0,4028195,5066.0,4033261,22.90151153254686,50.00838083963576
193,2020,4,Capital Federal,163060.0,1142528.0,39890.0,4815.0,29237.0,1378140,1390.0,1379530,44.8339684267828,67.32513676879374
194,2020,4,Catamarca,26870.0,5115.0,17856.0,322.0,2233.0,52395,1.0,52396,12.567459308545084,37.6500877273544
195,2020,4,Chaco,44332.0,61200.0,23687.0,7997.0,1875.0,139088,3.0,139091,11.50064617804086,32.45204676418101
196,2020,4,Chubut,45703.0,39756.0,3040.0,23363.0,18712.0,129749,825.0,130574,20.95087117462161,7.383087626414736
197,2020,4,Córdoba,267396.0,439322.0,125620.0,52827.0,17536.0,902646,55.0,902701,23.904978675681004,35.120601241883946
198,2020,4,Corrientes,50102.0,61495.0,3146.0,5626.0,5290.0,125656,3.0,125659,11.172002734788627,25.446700896630592
199,2020,4,Entre Ríos,85683.0,113670.0,15653.0,20206.0,12169.0,247368,13.0,247381,17.78197083072765,24.05327825306045
200,2020,4,Formosa,21264.0,10789.0,2432.0,15341.0,380.0,50206,0.0,50206,8.268390853815193,19.6983490087788
201,2020,4,Jujuy,32850.0,52815.0,15639.0,1077.0,3470.0,105851,0.0,105851,13.66962311713536,25.20639328416149
202,2020,4,La Pampa,9009.0,58945.0,15432.0,12194.0,1315.0,96779,116.0,96895,26.9404221718048,9.875605170860927
203,2020,4,La Rioja,17513.0,34984.0,1.0,250.0,30.0,52775,3.0,52778,13.339129511730942,12.534655980598345
204,2020,4,Mendoza,91842.0,68364.0,36083.0,18331.0,833.0,214838,615.0,215453,10.779753857792285,11.093171319457166
205,2020,4,Misiones,49462.0,79855.0,6589.0,4359.0,6896.0,147161,0.0,147161,11.614898792582805,24.956617779680364
206,2020,4,Neuquén,30468.0,70614.0,13732.0,17689.0,632.0,132762,373.0,133135,19.943555550895127,33.90786486677393
207,2020,4,Río Negro,48991.0,42022.0,17826.0,13994.0,18377.0,140709,501.0,141210,18.789319055171752,21.636719189849995
208,2020,4,Salta,56659.0,87817.0,30604.0,5858.0,6452.0,187388,2.0,187390,13.088389057411083,25.32243965074473
209,2020,4,San Juan,40072.0,7004.0,6599.0,10468.0,8453.0,72340,256.0,72596,9.251858120163536,6.412867397953183
210,2020,4,San Luis,8417.0,11767.0,27.0,63019.0,36205.0,119287,148.0,119435,23.375314368474104,21.252954082189127
211,2020,4,Santa Cruz,12347.0,19657.0,1041.0,4659.0,2970.0,40477,197.0,40674,11.008682660661702,7.492108628119051
212,2020,4,Santa Fe,287271.0,414746.0,62692.0,38712.0,17392.0,820676,137.0,820813,23.136769743176902,27.294352446215623
213,2020,4,Santiago Del Estero,26812.0,70522.0,570.0,5169.0,3596.0,106668,1.0,106669,10.857437164805166,11.280765527511996
214,2020,4,Tierra Del Fuego,12853.0,26439.0,6.0,0.0,316.0,39325,289.0,39614,22.609569143137627,8.486806949337868
215,2020,4,Tucumán,149322.0,11150.0,68043.0,1834.0,740.0,231067,22.0,231089,13.57016980842894,36.44224682915296
216,2020,3,Buenos Aires,653930.0,2384557.0,749087.0,94162.0,55541.0,3932211,5066.0,3937277,22.410088053440287,48.37662390811511
217,2020,3,Capital Federal,170375.0,1129573.0,39417.0,3936.0,29374.0,1371285,1390.0,1372675,44.62274289719256,63.80852025607172
218,2020,3,Catamarca,26868.0,3690.0,16857.0,261.0,2228.0,49903,1.0,49904,11.995288801288368,36.540436607329845
219,2020,3,Chaco,45745.0,58825.0,20675.0,6706.0,2003.0,133951,3.0,133954,11.102767361905425,30.802726948564217
