,Provincia,Partido,Localidad,ADSL_x,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,Población,ADSL_y,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
341,Buenos aires,Lanús,Lanús Oeste,0,12109,1,14750,0,0,0,364,27224,159094,--,SI,SI,SI,--,SI,SI,SI,SI,6434010.0,-34.6957815314992,-58.416253274019
342,Buenos aires,Lanús,Monte Chingolo,73,10735,47,15991,71,0,0,0,26917,86220,SI,SI,SI,SI,--,--,SI,SI,SI,6434010.0,-34.7302098940207,-58.3561741850066
343,Buenos aires,Lanús,Remedios Escalada De San Martin,65,14123,19,5154,19,0,0,344,19724,82576,SI,SI,SI,SI,--,SI,SI,SI,SI,6434010.0,-34.723808815713,-58.397669711018
344,Buenos aires,Lanús,Valentín Alsina,192,7221,79,12116,91,0,0,3,19702,41716,SI,SI,SI,SI,--,SI,SI,SI,SI,6434010.0,-34.672035526127,-58.4134851675076
345,Buenos aires,Laprida,Laprida,0,22,0,2741,0,0,0,0,2763,8840,--,SI,--,SI,--,--,SI,SI,SI,6448010.0,-37.5467976434903,-60.7970535965801
346,Buenos aires,Laprida,Pueblo Nuevo,0,0,0,0,0,0,0,8,8,36,--,--,--,--,--,SI,--,--,--,6448020.0,-37.3263227,-60.9098409
347,Buenos aires,Laprida,Pueblo San Jorge,0,0,0,0,0,0,0,117,117,248,--,--,--,--,--,SI,SI,--,--,6448030.0,-37.2298626892886,-60.9621658450441
348,Buenos aires,Las Flores,Las Flores,1803,0,0,2872,0,0,0,807,5482,21455,SI,--,--,SI,--,SI,SI,SI,SI,6455030.0,-36.0154969145348,-59.1004659218434
349,Buenos aires,Las Flores,Coronel Boerr,0,0,0,0,0,0,0,3,3,15,--,--,--,--,--,SI,--,--,--,6455010.0,-35.9414440334215,-59.0693547287839
350,Buenos aires,Las Flores,El Trigo,0,0,0,1,0,0,0,3,4,43,--,--,--,SI,--,SI,--,--,--,6455020.0,-35.8815483511482,-59.4063369903389
351,Buenos aires,Las Flores,Pardo,0,0,0,0,0,0,0,4,4,159,--,--,--,--,--,SI,--,SI,SI,6455040.0,-36.2437580460508,-59.3662916338311
352,Buenos aires,Leandro N. Alem,Alberdi Viejo,2,0,0,0,2,0,0,2,6,318,SI,--,--,--,--,SI,--,SI,SI,6462010.0,-34.4418003349,-61.8448787838164
353,Buenos aires,Leandro N. Alem,El Dorado,0,0,0,0,0,1,0,117,118,318,--,--,--,--,SI,SI,SI,--,--,6462020.0,-34.6528608747523,-61.5829085058874
354,Buenos aires,Leandro N. Alem,Fortín Acha,0,0,0,0,0,0,0,39,39,103,--,--,--,--,--,SI,--,--,--,6462030.0,-34.3430420274499,-61.5156655267073
355,Buenos aires,Leandro N. Alem,Leandro N. Alem,0,185,0,0,0,0,0,64,249,2468,--,SI,--,--,--,SI,--,SI,SI,6462050.0,-34.5217246234597,-61.391182899484
356,Buenos aires,Leandro N. Alem,Vedia,941,0,0,15,573,1,0,1307,2837,8827,SI,--,--,SI,SI,SI,SI,SI,SI,6462060.0,-34.4973984349932,-61.5453447631479
357,Buenos aires,Lincoln,Bayauca,0,0,0,0,1,0,0,43,44,541,--,--,--,--,--,SI,SI,--,SI,6469020.0,-34.8710511337121,-61.2895451446375
358,Buenos aires,Lincoln,El Triunfo,0,0,1,10,0,0,0,0,11,1543,--,--,SI,SI,--,--,SI,SI,SI,6469060.0,-35.0882210775847,-61.5163333232822
359,Buenos aires,Lincoln,Las Toscas,330,0,0,0,0,0,0,0,330,485,SI,--,--,--,--,--,SI,--,--,6469070.0,-35.3627586364746,-61.8061599731445
360,Buenos aires,Lincoln,Lincoln,813,8713,39,11,1,0,0,0,9577,28051,SI,SI,SI,SI,--,--,SI,SI,SI,6469080.0,-34.869042222818,-61.5291649669285
